University Title Aissms	City	Country	Teaching Kotlin			
University of Bergen	Bergen	Norway	INF237 Algorithms Engineering			
University of Bologna	Bologna	Italy	28006 - Foundations of Informatics T-2			
University of Bremen	Bremen	Germany	Programmiersprachen			
University of Brescia	Brescia	Italy	MOBILE PROGRAMMING			
University of Bridgeport	Bridgeport, CT	USA	CPSC 301 - Programming Languages			
University of British Columbia	Vancouver	Canada	CPEN 321: Software Engineering			
University of Caldas	Manizales	Colombia	De regreso a la programación desde las perspectivas			
University of Calgary	Calgary	Canada	CPSC_599-4 Special Topics in Computer Science (Competitive Programming)			
University of California, Davis - UC Davis	Davis, CA	US	ECS 189E: Android and iOS Fundamentals			
University of California, Irvine	Irvine, CA	US	CS221: Information Retrieval			
University of California, Los Angeles	Los Angeles, CA	US	Computer Science 131. Programming Languages			
University of California, San Diego	San Diego, CA	US	CSE-41336 Introduction to Mobile App Development			
University of California, Santa Barbara - UC Santa Barbara	Santa Barbara, CA	US	CS184 - Introduction to Mobile Application Development (using Android)			
University of California, Santa Cruz	Santa Cruz, CA	US	Mobile Application Development - Android and iOS, Introduction | CMPR.X421			
University of Cambridge	Cambridge	UK	Kotlin: Essential Training			
University of Camerino (Unicam)	Camerino	Italy	Progettazione di Applicazioni Web e Mobili			
University of Canterbury	Christchurch	New Zealand	SENG303 - Mobile Application Design and Development			
University of Cauca	Popayán	Colombia	Mobile Application Development			
University of Central Florida	Orlando, FL	US	COP 4331C - Processes for Object-Oriented Software Development			
University of Chester	Chester	UK	Android Development			
University of Chile	Santiago	Chile	Desarrollo de Aplicaciones Móviles			
University of Cincinnati	Cincinnati, OH	US	IT3048C: Mobile Device Programming			
University of Colima	Colima	Mexico	Bases de datos en Android con Kotlin			
University of Cologne	Cologne	Germany	Basissysteme der Informationsverarbeitung II			
University of Colorado Boulder	Boulder, CO	US	ATLS 4120/5120 Mobile Application Development			
University of Connecticut	Storrs, CT	US	CSE 3200 Mobile Application Development			
University of Cyprus	Nicosia	Cyprus	EPL421 Systems Programming			
University of Dayton	Dayton, OH	US	CPS 452: Emerging Programming Languages			
University of Edinburgh	Edinburgh	UK	Computer Science Large Practical			
University of Engineering and Management	Jaipur	India	PCCCS-706A: Mobile Computing			
University of Engineering and Technology, Taxila	Taxila	Pakistan	Mobile Application Development			
University of Essex	Colchester	UK	CE881-7-AU-CO: Mobile and Social Application Programming			
University of Exeter	Exeter	UK	ECM2425 Mobile and Ubiquitous Computing			
University of Extremadura	Badajos	Spain	Desarrollo de aplicaciones para dispositivos móviles			
University of Florida	Gainesville, FL	US	DIG4634 Wearable and Mobile App Development			
University of Fortaleza (UNIFOR)	Fortaleza	Brazil	Desenvolvimento para plataformas móveis			
University of Genoa	Genoa	Italy	PROGRAMMAZIONE MOBILE			
University of Georgia	Athens, GA	US	CSCI 4060/6060 Mobile Software Development			
University of Granada	Granada	Spain	Programación de Dispositivos Móviles			
University of Greenwich	London	UK	COMP - 1815 - JVM Programming Languages			
University of Guadalajara	Guadalajara	Mexico	Programación de Dispositivos Móviles			
University of Guelph	Guelph	Canada	CIS*4030 Mobile Computing			
University of Hamburg	Hamburg	Germany	64-866 Masteproject with integrated seminar about Smart Cities			
University of Hong Kong	Hong Kong	China	COMP4801 Final Year Project			
University of Houston	Houston, TX	US	DIGM 4381 Mobile Application Design			
University of Illinois at Chicago	Chicago, IL	US	CS 476 – Programming Language Design			
University of Illinois at Urbana-Champaign	Champaign, IL	US	CS 124: An Introduction to Computer Science			
University of Innsbruck	Innsbruck	Austria	Specialisation Seminar			
University of Insubria	Varese	Italy	PROGRAMMAZIONE DI DISPOSITIVI MOBILI			
University of Jaén	Jaen	Spain	74012007 - Technology and Development in Mobile Devices			
University of Klagenfurt	Klagenfurt	Austria	623.950 App Development			
University of Lahore	Lahore	Pakistan	Mobile Application Development			
University of Latvia	Riga	Latvia	Objektorientētā programmēšana			
University of Leeds	Leeds	UK	COMP2850 Software Engineering			
University of Lisbon	Lisbon	Portugal	Computação Móvel			
University of Ljubljana	Ljubljiana	Slovenia	63776 PROGRAMMING OF ENERGY-CONSTRAINED DEVICES			
University of Luxembourg	Luxembourg	Luxembourg	Mobile Application Development			
University of Maryland	College Park, MD	US	CMSC 436: Programming Handheld Systems			
University of Maryland, Baltimore County	Baltimore, MD	US	CMSC 331 Principles of Programming Languages			
University of Melbourne	Melbourne	Australia	Mobile Computing Systems Programming (COMP90018)			
University of Miami	Miami, FL	US	Kotlin Multiplatform Development			
University of Michigan-Ann Arbor	Ann Arbor, MI	US	EECS 441 Mobile App Development for Entrepreneurs			
University of Milano-Bicocca	Milan	Italy	Mobile Programming 2526-3-E3101Q135			
University of Missouri - Mizzou - Columbia	Columbia, MO	US	INFOTC 4410 - Android App Development I			
University of Missouri-St Louis	St. Louis, MO	US	CMP SCI 4020 Introduction to Android Apps: Android Fundamentals			
University of Modena and Reggio Emilia	Modena	Italy	Programmazione Mobile			
University of Montana Missoula	Missoula, MT	US	MART 462 - Mobile Game Programming			
University of Montenegro	Podgorica	Montenegro	PROGRAMIRANJE NAPREDNI KURS			
University of Montreal	Montreal	Canada	IFT 1155 - Programmation mobile à plateforme libre			
University of Nevada - Reno	Reno, NV	US	Math/CS Numerical methods I 466/666			
University of North Carolina at Chapel Hill	Chapel Hill, NC	US	COMP 523: Software Engineering Laboratory			
University of Notre Dame	Notre Dame, IN	US	CSE 40842 – Hackers in the Bazaar			
University of Novi Sad	Novi Sad	Serbia	Programming in Kotlin			
University of Oslo	Oslo	Norway	IN2000 – Software Engineering			
University of Oulu	Oulu	Finland	521046A Mobile Computing			
University of Oxford	Oxford	UK	Agile Engineering Practices			
University of Padua	Padua	Italy	IN01122661 - PROGRAMMAZIONE DI SISTEMI EMBEDDED			
University of Palermo	Palermo	Italy	WEB AND MOBILE PROGRAMMING			
University of Pannonia	Veszprém	Hungary	Kotlin programming (VEMISAB332K)			
University of Parma	Parma	Italy	PROGRAMMING OF MOBILE SYSTEMS			
University of Pennsylvania	Philadelphia, PA	US	CIS 1952 Android Programming			
University of Perugia	Perugia	Italy	GP004142 COMPUTER PROGRAMMING 3 / Informatics			
University of Pisa	Pisa	Italy	MOBILE AND SOCIAL SENSING SYSTEMS			
University of Plymouth	Plymouth	UK	Games Development			
University of Porto	Porto	Portugal	Compiladores			
University of Rochester	Rochester, NY	US	CSC 214-1 Mobile App Development			
University of Rome II – Tor Vergata	Rome	Italy	Mobile programming			
University of Rovira i Virgili	Tarragona	Spain	MOBILE APPLICATIONS AND SERVICES			
University of Salerno	Fisciano	Italy	Mobile Programming			
University of Santo Tomas	Manila	Philippines	Web and Mobile App Development			
University of São Paulo	Sao Paulo	Brazil	MAC0350 - Introdução ao Desenvolvimento de Sistemas de Software			
University of Sargodha	Sargodha	Pakistan	CS-4548 Mobile Application Development			
University of Sheffield	Sheffield	UK	COM6510 Software Development for Mobile Devices			
University of South Bohemia in České Budějovice	Ceske Bedejovice	Czech Republic	SMART DEVICE SYSTEMS			
University of South Carolina-Columbia	Columbia, SC	US	CSCE 490/492 Capstone Computing Project			
University of South Wales	Ponty pridd	UK	ISS3S664 Advanced Internet and Mobile Computing			
University of Southampton	Southampton	UK	COMP6239 Mobile Applications Development			
University of Southern California	Los Angeles, CA	US	CSCI 571: Web Technologies			
University of Tartu	Tartu	Estonia	Mobile Application Development			
University of Tasmania	Hobart	Australia	Mobile Application Development KIT305			
University of Technology Sydney	Sydney	Australia	41039 Programming 1			
University of Texas at Austin	Austin, TX	US	CS 371M Mobile Computing (Android Programming)			
University of Texas at El Paso	El Paso, TX	US	CS 4330/5390 - Mobile Application Development			
University of the Andes, Colombia	Bogota	Colombia	ISIS3510 | Construcción de Aplicaciones Móviles			
University of the Sinos Valley	Sao Leopoldo	Brazil	Desenvolvimento de Aplicações para Plataformas Móveis			
University of the West of Scotland	Glasgow	UK	COMP08068 Programming for Mobile Devices			
University of the West of Scotland	Paisley	UK	Android development			
University of Toronto	Toronto	Canada	ECE 1778: Creative Applications for Mobile Devices			
University of Trento	Trento	Italy	Introduction to web programming			
University of Turin	Turin	Italy	Mobile Device Programming			
University of Turku	Turku	Finland	Käyttöliittymät			
University of Twente	Enschede	Netherlands	Software Security 201600051			
University of Utah	Salt Lake City, UT	US	CS 6018 Application System Design			
University of Vaasa	Vaasa	Finland	ICAT3130 Mobile Application Development			
University of Vic – Central University of Catalonia	Vic	Spain	Android Application Development			
University of Virginia	Charlottesville, VA	US	CS 4720 Mobile Application Development			
University of Warsaw	Warsaw	Poland	Programming in Kotlin			
University of Washington	Seattle, Washington	US	INFO 448 Android Mobile Development			
University of Waterloo	Waterloo	Canada	CS349 User Interfaces			
University of Westminster	London	UK	5COSC023W - Mobile Application Development			
University of Wisconsin - Parkside	Kenosha, WI	US	App Factory			
University of Wollongong	Wollongong	Australia	CSIT242 Mobile Application Development			
University of Würzburg	Wurzburg	Germany	SS23: Einführung in die Programmierung mit Kotlin			
University of Wyoming	Laramie, WY	US	Cosc 4730: Mobile Programming			
University of Zagreb	Zagreb	Croatia	Razvoj usluga i aplikacija za operacijski sustav Android			
University Rey Juan Carlos	Madrid	Spain	Yes			
UPC - Peruvian University of Applied Sciences (Peru)	Lima	Peru	Desarrollo Para Plataforma Móviles			
UPES	Dehradun	India	Mobile Application Development Using Android (CSMC3025)			
Uppsala University	Uppsala	Sweden	Game Design			
Ural Federal University	Ekaterinburg	Russia	1156435 Язык программирования Kotlin			
Utah State University	Logan, UT	US	CS 1440 - Methods in Computer Science			
UWE Bristol	Bristol	UK	Kotlin and Android			
Vanderbilt University	Nashville, TN	US	CS 891: Concurrent Java Programming in Android 			
Varsity College	Sandton	South Africa	Mobile app development			
Veltech University	Morai	India	1151CS201 Mobile Application Development			
Victoria University	Melbourne	Australia	NIT3213 MOBILE APPLICATION DEVELOPMENT			
Vidyavardhaka College of Engineering	Mysore	India	22CS47: Mobile Application Development			
Vignan’s Foundation for Science, Technology and Research	Guntur	India	Android Development with Kotlin			
Vilnius University	Vilnius	Lithuania	Software Engineering			
Virginia Polytechnic Institute and State University - Virginia Tech	Blacksburg, VA	US	CS3304 Comparative Languages Schedule			
Visvesvaraya Technological University	Belgaum	India	“Train the Trainer” ( TTT ) program on Android Development using Kotlin			
VIT University	Vellore	India	Programming Languages for Industry 4.0 (VAC2334)			
Voronezh State University	Voronezh	Russia	Mobile Application Programming Basics			
VSB - Technical University of Ostrava	Ostrava	Czech Republic	Design of Applications for Mobile Devices II			
Warsaw University of Technology	Warsaw	Poland	Systemy i Aplikacje Mobilne			
Waterford Institute of Technology - South East	Waterford	Ireland	Android Programming in Kotlin			
Western Colorado University	Gunnison, CO	USA	CS 310: Programming Projects in Kotlin			
Worcester Polytechnic Institute	Worcester, MA	US	CS 528: Ubiquitous and Mobile Computing			
Wrocław University of Science and Technology	Wroclaw	Poland	INZ004470 Programowanie w chmurze			
Yale University	New Haven, CT	US	CPSC 365: Algorithms			
			- Modern Android Apps with Jetpack Compose: an open-enrollment course for professionals and students			
			https://www.tecsup.edu.pe/cursos/apps-android-modernas-con-jetpack-compose/- Software Design program where Android with Kotlin and Jetpack Compose is part of the core curriculum			
			https://mail.google.com/mail/u/0/#search/Lyc%C3%A9e+Gustave+Eiffel/FMfcgzQcpwssZfXjXTbXBXKtkwhMzDWM			
			https://mail.google.com/mail/u/0/#inbox/FMfcgzQgMVljcRthWXRNsXTvKjxLCnNr			
